java.lang.ClassLoader	<java.net.URLClassLoader: void close()>/java.io.Closeable.close/0	<java.net.URLClassLoader: void close()>/l6#_308
org.apache.pdfbox.pdmodel.common.function.type4.InstructionSequence	<org.apache.pdfbox.pdmodel.common.function.type4.InstructionSequence: void execute(org.apache.pdfbox.pdmodel.common.function.type4.ExecutionContext)>/org.apache.pdfbox.pdmodel.common.function.type4.InstructionSequence.execute/0	<org.apache.pdfbox.pdmodel.common.function.type4.InstructionSequence: void execute(org.apache.pdfbox.pdmodel.common.function.type4.ExecutionContext)>/nested#2#_107
org.apache.fontbox.ttf.GlyfCompositeDescript	<org.apache.fontbox.ttf.GlyfCompositeDescript: void resolve()>/org.apache.fontbox.ttf.GlyphDescription.resolve/0	<org.apache.fontbox.ttf.GlyfCompositeDescript: void resolve()>/desc#_108
java.awt.Component	<javax.swing.JComponent: javax.swing.JPopupMenu getComponentPopupMenu()>/javax.swing.JComponent.getComponentPopupMenu/0	<javax.swing.JComponent: javax.swing.JPopupMenu getComponentPopupMenu()>/$r2
java.awt.Component	<java.awt.Window: void show()>/java.awt.Window.show/0	<java.awt.Window: void show()>/l2#_1045
java.awt.Component	<java.awt.Window: void hide()>/java.awt.Window.hide/0	<java.awt.Window: void hide()>/l3#_1105
java.awt.Component	<java.awt.Container: boolean updateGraphicsData(java.awt.GraphicsConfiguration)>/java.awt.Component.updateGraphicsData/1	<java.awt.Container: boolean updateGraphicsData(java.awt.GraphicsConfiguration)>/l4#_1161
java.awt.Component	<java.awt.Container: void checkGD(java.lang.String)>/java.awt.Component.checkGD/0	<java.awt.Container: void checkGD(java.lang.String)>/l3#_1175
java.awt.Component	<java.awt.Container: int numListening(long)>/java.awt.Component.numListening/1	<java.awt.Container: int numListening(long)>/l6_$$A_1#_1340
java.awt.Component	<java.awt.Container: int numListening(long)>/java.awt.Component.numListening/2	<java.awt.Container: int numListening(long)>/l6_$$A_4#_1352
java.awt.Component	<java.awt.Container: int countHierarchyMembers()>/java.awt.Component.countHierarchyMembers/0	<java.awt.Container: int countHierarchyMembers()>/l3#_1415
java.awt.Component	<java.awt.Container: int createHierarchyEvents(int,java.awt.Component,java.awt.Container,long,boolean)>/java.awt.Component.createHierarchyEvents/0	<java.awt.Container: int createHierarchyEvents(int,java.awt.Component,java.awt.Container,long,boolean)>/$r2
java.awt.Component	<java.awt.Container: void validateTree()>/java.awt.Container.validateTree/0	<java.awt.Container: void validateTree()>/$r6
java.awt.Component	<java.awt.Container: void invalidateTree()>/java.awt.Container.invalidateTree/0	<java.awt.Container: void invalidateTree()>/$r4
java.awt.Component	<java.awt.Container: void addNotify()>/java.awt.Component.addNotify/1	<java.awt.Container: void addNotify()>/$r4
java.awt.Component	<java.awt.Container: void removeNotify()>/java.awt.Component.removeNotify/0	<java.awt.Container: void removeNotify()>/l3#_2795
java.awt.Component	<java.awt.Container: void list(java.io.PrintStream,int)>/java.awt.Component.list/1	<java.awt.Container: void list(java.io.PrintStream,int)>/l5#_3011
java.awt.Component	<java.awt.Container: sun.java2d.pipe.Region getOpaqueShape()>/java.awt.Component.getOpaqueShape/0	<java.awt.Container: sun.java2d.pipe.Region getOpaqueShape()>/l3#_4087
java.util.IdentityHashMap	<java.util.AbstractMap: boolean equals(java.lang.Object)>/java.lang.Object.equals/0	<java.util.AbstractMap: boolean equals(java.lang.Object)>/l6#_490
com.sun.imageio.plugins.common.PaletteBuilder$ColorNode	<com.sun.imageio.plugins.common.PaletteBuilder$ColorNode: int getLeafChildCount()>/com.sun.imageio.plugins.common.PaletteBuilder$ColorNode.getLeafChildCount/0	<com.sun.imageio.plugins.common.PaletteBuilder$ColorNode: int getLeafChildCount()>/$r6
java.awt.Container	<javax.swing.JComponent: javax.swing.JPopupMenu getComponentPopupMenu()>/javax.swing.JComponent.getComponentPopupMenu/0	<javax.swing.JComponent: javax.swing.JPopupMenu getComponentPopupMenu()>/$r2
java.awt.Container	<java.awt.Window: void show()>/java.awt.Window.show/0	<java.awt.Window: void show()>/l2#_1045
java.awt.Container	<java.awt.Window: void hide()>/java.awt.Window.hide/0	<java.awt.Window: void hide()>/l3#_1105
java.awt.Container	<java.awt.Container: boolean updateGraphicsData(java.awt.GraphicsConfiguration)>/java.awt.Component.updateGraphicsData/1	<java.awt.Container: boolean updateGraphicsData(java.awt.GraphicsConfiguration)>/l4#_1161
java.awt.Container	<java.awt.Container: void checkGD(java.lang.String)>/java.awt.Component.checkGD/0	<java.awt.Container: void checkGD(java.lang.String)>/l3#_1175
java.awt.Container	<java.awt.Container: int numListening(long)>/java.awt.Component.numListening/1	<java.awt.Container: int numListening(long)>/l6_$$A_1#_1340
java.awt.Container	<java.awt.Container: int numListening(long)>/java.awt.Component.numListening/2	<java.awt.Container: int numListening(long)>/l6_$$A_4#_1352
java.awt.Container	<java.awt.Container: int countHierarchyMembers()>/java.awt.Component.countHierarchyMembers/0	<java.awt.Container: int countHierarchyMembers()>/l3#_1415
java.awt.Container	<java.awt.Container: int createHierarchyEvents(int,java.awt.Component,java.awt.Container,long,boolean)>/java.awt.Component.createHierarchyEvents/0	<java.awt.Container: int createHierarchyEvents(int,java.awt.Component,java.awt.Container,long,boolean)>/$r2
java.awt.Container	<java.awt.Container: void validateTree()>/java.awt.Container.validateTree/0	<java.awt.Container: void validateTree()>/$r6
java.awt.Container	<java.awt.Container: void invalidateTree()>/java.awt.Container.invalidateTree/0	<java.awt.Container: void invalidateTree()>/$r4
java.awt.Container	<java.awt.Container: void addNotify()>/java.awt.Component.addNotify/1	<java.awt.Container: void addNotify()>/$r4
java.awt.Container	<java.awt.Container: void removeNotify()>/java.awt.Component.removeNotify/0	<java.awt.Container: void removeNotify()>/l3#_2795
java.awt.Container	<java.awt.Container: void list(java.io.PrintStream,int)>/java.awt.Component.list/1	<java.awt.Container: void list(java.io.PrintStream,int)>/l5#_3011
java.awt.Container	<java.awt.Container: sun.java2d.pipe.Region getOpaqueShape()>/java.awt.Component.getOpaqueShape/0	<java.awt.Container: sun.java2d.pipe.Region getOpaqueShape()>/l3#_4087
java.util.HashMap$EntrySet	<java.util.AbstractSet: int hashCode()>/java.lang.Object.hashCode/0	<java.util.AbstractSet: int hashCode()>/l3#_124
java.awt.Window	<java.awt.Window: void show()>/java.awt.Window.show/0	<java.awt.Window: void show()>/l2#_1045
java.awt.Window	<java.awt.Window: void hide()>/java.awt.Window.hide/0	<java.awt.Window: void hide()>/l3#_1105
java.awt.Window	<java.awt.Container: boolean updateGraphicsData(java.awt.GraphicsConfiguration)>/java.awt.Component.updateGraphicsData/1	<java.awt.Container: boolean updateGraphicsData(java.awt.GraphicsConfiguration)>/l4#_1161
java.awt.Window	<java.awt.Container: void checkGD(java.lang.String)>/java.awt.Component.checkGD/0	<java.awt.Container: void checkGD(java.lang.String)>/l3#_1175
java.awt.Window	<java.awt.Container: int numListening(long)>/java.awt.Component.numListening/1	<java.awt.Container: int numListening(long)>/l6_$$A_1#_1340
java.awt.Window	<java.awt.Container: int numListening(long)>/java.awt.Component.numListening/2	<java.awt.Container: int numListening(long)>/l6_$$A_4#_1352
java.awt.Window	<java.awt.Container: int countHierarchyMembers()>/java.awt.Component.countHierarchyMembers/0	<java.awt.Container: int countHierarchyMembers()>/l3#_1415
java.awt.Window	<java.awt.Container: int createHierarchyEvents(int,java.awt.Component,java.awt.Container,long,boolean)>/java.awt.Component.createHierarchyEvents/0	<java.awt.Container: int createHierarchyEvents(int,java.awt.Component,java.awt.Container,long,boolean)>/$r2
java.awt.Window	<java.awt.Container: void validateTree()>/java.awt.Container.validateTree/0	<java.awt.Container: void validateTree()>/$r6
java.awt.Window	<java.awt.Container: void invalidateTree()>/java.awt.Container.invalidateTree/0	<java.awt.Container: void invalidateTree()>/$r4
java.awt.Window	<java.awt.Container: void addNotify()>/java.awt.Component.addNotify/1	<java.awt.Container: void addNotify()>/$r4
java.awt.Window	<java.awt.Container: void removeNotify()>/java.awt.Component.removeNotify/0	<java.awt.Container: void removeNotify()>/l3#_2795
java.awt.Window	<java.awt.Container: void list(java.io.PrintStream,int)>/java.awt.Component.list/1	<java.awt.Container: void list(java.io.PrintStream,int)>/l5#_3011
java.awt.Window	<java.awt.Container: sun.java2d.pipe.Region getOpaqueShape()>/java.awt.Component.getOpaqueShape/0	<java.awt.Container: sun.java2d.pipe.Region getOpaqueShape()>/l3#_4087
java.util.TreeSet	<java.util.AbstractSet: int hashCode()>/java.lang.Object.hashCode/0	<java.util.AbstractSet: int hashCode()>/l3#_124
sun.misc.URLClassPath$JarLoader	<sun.misc.URLClassPath$JarLoader: sun.misc.Resource getResource(java.lang.String,boolean,java.util.Set)>/sun.misc.URLClassPath$JarLoader.getResource/0	<sun.misc.URLClassPath$JarLoader: sun.misc.Resource getResource(java.lang.String,boolean,java.util.Set)>/l10_$$A_4#_1111
java.util.Hashtable	<javax.swing.MultiUIDefaults: java.lang.Object get(java.lang.Object)>/javax.swing.UIDefaults.get/1	<javax.swing.MultiUIDefaults: java.lang.Object get(java.lang.Object)>/l6#_70
java.util.Hashtable	<javax.swing.MultiUIDefaults: java.lang.Object get(java.lang.Object,java.util.Locale)>/javax.swing.UIDefaults.get/1	<javax.swing.MultiUIDefaults: java.lang.Object get(java.lang.Object,java.util.Locale)>/l7#_88
java.util.Hashtable	<java.util.Hashtable: java.lang.String toString()>/java.lang.Object.toString/0	<java.util.Hashtable: java.lang.String toString()>/l6#_584
java.util.Hashtable	<java.util.Hashtable: java.lang.String toString()>/java.lang.Object.toString/1	<java.util.Hashtable: java.lang.String toString()>/l7#_585
java.util.Hashtable	<java.util.Hashtable: boolean equals(java.lang.Object)>/java.lang.Object.equals/0	<java.util.Hashtable: boolean equals(java.lang.Object)>/l6#_808
java.util.Vector	<java.util.AbstractList: boolean equals(java.lang.Object)>/java.lang.Object.equals/0	<java.util.AbstractList: boolean equals(java.lang.Object)>/l4#_521
java.util.Vector	<java.util.AbstractList: int hashCode()>/java.lang.Object.hashCode/0	<java.util.AbstractList: int hashCode()>/l3#_542
java.util.LinkedHashMap$LinkedEntrySet	<java.util.AbstractSet: int hashCode()>/java.lang.Object.hashCode/0	<java.util.AbstractSet: int hashCode()>/l3#_124
java.net.URLClassLoader	<java.net.URLClassLoader: void close()>/java.io.Closeable.close/0	<java.net.URLClassLoader: void close()>/l6#_308
java.util.Properties	<java.util.Hashtable: java.lang.String toString()>/java.lang.Object.toString/0	<java.util.Hashtable: java.lang.String toString()>/l6#_584
java.util.Properties	<java.util.Hashtable: java.lang.String toString()>/java.lang.Object.toString/1	<java.util.Hashtable: java.lang.String toString()>/l7#_585
java.util.Properties	<java.util.Hashtable: boolean equals(java.lang.Object)>/java.lang.Object.equals/0	<java.util.Hashtable: boolean equals(java.lang.Object)>/l6#_808
java.util.TreeMap	<java.util.AbstractMap: boolean equals(java.lang.Object)>/java.lang.Object.equals/0	<java.util.AbstractMap: boolean equals(java.lang.Object)>/l6#_490
java.util.SubList	<java.util.AbstractList: boolean equals(java.lang.Object)>/java.lang.Object.equals/0	<java.util.AbstractList: boolean equals(java.lang.Object)>/l4#_521
java.util.SubList	<java.util.AbstractList: int hashCode()>/java.lang.Object.hashCode/0	<java.util.AbstractList: int hashCode()>/l3#_542
javax.swing.MultiUIDefaults	<javax.swing.MultiUIDefaults: java.lang.Object get(java.lang.Object)>/javax.swing.UIDefaults.get/1	<javax.swing.MultiUIDefaults: java.lang.Object get(java.lang.Object)>/l6#_70
javax.swing.MultiUIDefaults	<javax.swing.MultiUIDefaults: java.lang.Object get(java.lang.Object,java.util.Locale)>/javax.swing.UIDefaults.get/1	<javax.swing.MultiUIDefaults: java.lang.Object get(java.lang.Object,java.util.Locale)>/l7#_88
javax.swing.MultiUIDefaults	<java.util.Hashtable: java.lang.String toString()>/java.lang.Object.toString/0	<java.util.Hashtable: java.lang.String toString()>/l6#_584
javax.swing.MultiUIDefaults	<java.util.Hashtable: java.lang.String toString()>/java.lang.Object.toString/1	<java.util.Hashtable: java.lang.String toString()>/l7#_585
javax.swing.MultiUIDefaults	<java.util.Hashtable: boolean equals(java.lang.Object)>/java.lang.Object.equals/0	<java.util.Hashtable: boolean equals(java.lang.Object)>/l6#_808
java.util.regex.Pattern$Branch	<java.util.regex.Pattern$Branch: boolean match(java.util.regex.Matcher,int,java.lang.CharSequence)>/java.util.regex.Pattern$Node.match/0	<java.util.regex.Pattern$Branch: boolean match(java.util.regex.Matcher,int,java.lang.CharSequence)>/$r5
java.util.regex.Pattern$Branch	<java.util.regex.Pattern$Branch: boolean match(java.util.regex.Matcher,int,java.lang.CharSequence)>/java.util.regex.Pattern$Node.match/1	<java.util.regex.Pattern$Branch: boolean match(java.util.regex.Matcher,int,java.lang.CharSequence)>/$r3
java.util.regex.Pattern$Branch	<java.util.regex.Pattern$Branch: boolean study(java.util.regex.Pattern$TreeInfo)>/java.util.regex.Pattern$Node.study/0	<java.util.regex.Pattern$Branch: boolean study(java.util.regex.Pattern$TreeInfo)>/$r5
java.util.regex.Pattern$Branch	<java.util.regex.Pattern$Branch: boolean study(java.util.regex.Pattern$TreeInfo)>/java.util.regex.Pattern$Node.study/1	<java.util.regex.Pattern$Branch: boolean study(java.util.regex.Pattern$TreeInfo)>/$r1
java.util.IdentityHashMap$EntrySet	<java.util.AbstractSet: int hashCode()>/java.lang.Object.hashCode/0	<java.util.AbstractSet: int hashCode()>/l3#_124
java.util.WeakHashMap	<java.util.AbstractMap: boolean equals(java.lang.Object)>/java.lang.Object.equals/0	<java.util.AbstractMap: boolean equals(java.lang.Object)>/l6#_490
java.util.Collections$SingletonMap	<java.util.AbstractMap: boolean equals(java.lang.Object)>/java.lang.Object.equals/0	<java.util.AbstractMap: boolean equals(java.lang.Object)>/l6#_490
java.util.TreeMap$EntrySet	<java.util.AbstractSet: int hashCode()>/java.lang.Object.hashCode/0	<java.util.AbstractSet: int hashCode()>/l3#_124
java.util.Collections$SetFromMap	<java.util.AbstractSet: int hashCode()>/java.lang.Object.hashCode/0	<java.util.AbstractSet: int hashCode()>/l3#_124
java.util.concurrent.ConcurrentHashMap	<java.util.concurrent.ConcurrentHashMap: int hashCode()>/java.lang.Object.hashCode/0	<java.util.concurrent.ConcurrentHashMap: int hashCode()>/$r3
java.util.concurrent.ConcurrentHashMap	<java.util.concurrent.ConcurrentHashMap: int hashCode()>/java.lang.Object.hashCode/1	<java.util.concurrent.ConcurrentHashMap: int hashCode()>/$r4
java.util.concurrent.ConcurrentHashMap	<java.util.concurrent.ConcurrentHashMap: boolean equals(java.lang.Object)>/java.lang.Object.equals/0	<java.util.concurrent.ConcurrentHashMap: boolean equals(java.lang.Object)>/l8_$$A_1#_1350
java.util.concurrent.ConcurrentHashMap	<java.util.concurrent.ConcurrentHashMap: boolean equals(java.lang.Object)>/java.lang.Object.equals/1	<java.util.concurrent.ConcurrentHashMap: boolean equals(java.lang.Object)>/l9#_1357
java.util.concurrent.ConcurrentHashMap	<java.util.AbstractMap: boolean equals(java.lang.Object)>/java.lang.Object.equals/0	<java.util.AbstractMap: boolean equals(java.lang.Object)>/l6#_490
sun.util.PreHashedMap	<java.util.AbstractMap: boolean equals(java.lang.Object)>/java.lang.Object.equals/0	<java.util.AbstractMap: boolean equals(java.lang.Object)>/l6#_490
java.util.TreeMap$KeySet	<java.util.AbstractSet: int hashCode()>/java.lang.Object.hashCode/0	<java.util.AbstractSet: int hashCode()>/l3#_124
javax.swing.text.StyleContext$SmallAttributeSet	<javax.swing.text.StyleContext$SmallAttributeSet: int hashCode()>/java.lang.Object.hashCode/0	<javax.swing.text.StyleContext$SmallAttributeSet: int hashCode()>/$r0
javax.swing.JLayeredPane	<javax.swing.JComponent: javax.swing.JPopupMenu getComponentPopupMenu()>/javax.swing.JComponent.getComponentPopupMenu/0	<javax.swing.JComponent: javax.swing.JPopupMenu getComponentPopupMenu()>/$r2
javax.swing.JLayeredPane	<java.awt.Container: boolean updateGraphicsData(java.awt.GraphicsConfiguration)>/java.awt.Component.updateGraphicsData/1	<java.awt.Container: boolean updateGraphicsData(java.awt.GraphicsConfiguration)>/l4#_1161
javax.swing.JLayeredPane	<java.awt.Container: void checkGD(java.lang.String)>/java.awt.Component.checkGD/0	<java.awt.Container: void checkGD(java.lang.String)>/l3#_1175
javax.swing.JLayeredPane	<java.awt.Container: int numListening(long)>/java.awt.Component.numListening/1	<java.awt.Container: int numListening(long)>/l6_$$A_1#_1340
javax.swing.JLayeredPane	<java.awt.Container: int numListening(long)>/java.awt.Component.numListening/2	<java.awt.Container: int numListening(long)>/l6_$$A_4#_1352
javax.swing.JLayeredPane	<java.awt.Container: int countHierarchyMembers()>/java.awt.Component.countHierarchyMembers/0	<java.awt.Container: int countHierarchyMembers()>/l3#_1415
javax.swing.JLayeredPane	<java.awt.Container: int createHierarchyEvents(int,java.awt.Component,java.awt.Container,long,boolean)>/java.awt.Component.createHierarchyEvents/0	<java.awt.Container: int createHierarchyEvents(int,java.awt.Component,java.awt.Container,long,boolean)>/$r2
javax.swing.JLayeredPane	<java.awt.Container: void validateTree()>/java.awt.Container.validateTree/0	<java.awt.Container: void validateTree()>/$r6
javax.swing.JLayeredPane	<java.awt.Container: void invalidateTree()>/java.awt.Container.invalidateTree/0	<java.awt.Container: void invalidateTree()>/$r4
javax.swing.JLayeredPane	<java.awt.Container: void addNotify()>/java.awt.Component.addNotify/1	<java.awt.Container: void addNotify()>/$r4
javax.swing.JLayeredPane	<java.awt.Container: void removeNotify()>/java.awt.Component.removeNotify/0	<java.awt.Container: void removeNotify()>/l3#_2795
javax.swing.JLayeredPane	<java.awt.Container: void list(java.io.PrintStream,int)>/java.awt.Component.list/1	<java.awt.Container: void list(java.io.PrintStream,int)>/l5#_3011
javax.swing.JLayeredPane	<java.awt.Container: sun.java2d.pipe.Region getOpaqueShape()>/java.awt.Component.getOpaqueShape/0	<java.awt.Container: sun.java2d.pipe.Region getOpaqueShape()>/l3#_4087
javax.swing.JTable	<javax.swing.JComponent: javax.swing.JPopupMenu getComponentPopupMenu()>/javax.swing.JComponent.getComponentPopupMenu/0	<javax.swing.JComponent: javax.swing.JPopupMenu getComponentPopupMenu()>/$r2
javax.swing.JTable	<java.awt.Container: boolean updateGraphicsData(java.awt.GraphicsConfiguration)>/java.awt.Component.updateGraphicsData/1	<java.awt.Container: boolean updateGraphicsData(java.awt.GraphicsConfiguration)>/l4#_1161
javax.swing.JTable	<java.awt.Container: void checkGD(java.lang.String)>/java.awt.Component.checkGD/0	<java.awt.Container: void checkGD(java.lang.String)>/l3#_1175
javax.swing.JTable	<java.awt.Container: int numListening(long)>/java.awt.Component.numListening/1	<java.awt.Container: int numListening(long)>/l6_$$A_1#_1340
javax.swing.JTable	<java.awt.Container: int numListening(long)>/java.awt.Component.numListening/2	<java.awt.Container: int numListening(long)>/l6_$$A_4#_1352
javax.swing.JTable	<java.awt.Container: int countHierarchyMembers()>/java.awt.Component.countHierarchyMembers/0	<java.awt.Container: int countHierarchyMembers()>/l3#_1415
javax.swing.JTable	<java.awt.Container: int createHierarchyEvents(int,java.awt.Component,java.awt.Container,long,boolean)>/java.awt.Component.createHierarchyEvents/0	<java.awt.Container: int createHierarchyEvents(int,java.awt.Component,java.awt.Container,long,boolean)>/$r2
javax.swing.JTable	<java.awt.Container: void validateTree()>/java.awt.Container.validateTree/0	<java.awt.Container: void validateTree()>/$r6
javax.swing.JTable	<java.awt.Container: void invalidateTree()>/java.awt.Container.invalidateTree/0	<java.awt.Container: void invalidateTree()>/$r4
javax.swing.JTable	<java.awt.Container: void addNotify()>/java.awt.Component.addNotify/1	<java.awt.Container: void addNotify()>/$r4
javax.swing.JTable	<java.awt.Container: void removeNotify()>/java.awt.Component.removeNotify/0	<java.awt.Container: void removeNotify()>/l3#_2795
javax.swing.JTable	<java.awt.Container: void list(java.io.PrintStream,int)>/java.awt.Component.list/1	<java.awt.Container: void list(java.io.PrintStream,int)>/l5#_3011
javax.swing.JTable	<java.awt.Container: sun.java2d.pipe.Region getOpaqueShape()>/java.awt.Component.getOpaqueShape/0	<java.awt.Container: sun.java2d.pipe.Region getOpaqueShape()>/l3#_4087
